return_id,order_id,customer_id,product_id,store_id,return_date,return_quantity,return_amount,return_reason,return_status,refund_amount
55646,13974,11952,22110,23604,2026-03-10,2,167.78,Damaged,Approved,167.78
55647,23252,16581,19432,17391,2023-05-18,2,365.8,Not as Described,Approved,365.8
55648,19886,21222,11302,14535,2025-10-07,4,98.12,Wrong Item Shipped,Approved,98.12
55649,30476,21775,20056,1359,2025-06-13,1,385.57,Defective,Pending,
55650,36385,29619,17630,27436,2023-11-12,4,944.76,Late Delivery,Approved,944.76
55651,16230,14807,1285,22619,2024-08-07,2,1444.02,Not as Described,Pending,
55652,32882,22139,26876,7694,2023-08-27,2,963.3,Late Delivery,Approved,963.3
55653,22712,15901,19791,22041,2025-07-12,2,394.86,Not as Described,Pending,
55654,31807,19060,26413,15293,2025-03-30,5,1849.7,Damaged,Approved,1849.7
55655,35581,28251,20451,16100,2024-02-28,3,1481.04,Size/Fit Issue,Approved,1481.04
55656,24437,2464,8434,21914,2023-05-30,1,454.41,Changed Mind,Approved,454.41
55657,35478,15769,10093,15843,2026-05-12,5,1369.55,Duplicate Order,Approved,1369.55
55658,11377,13612,26446,10173,2024-10-09,2,892.84,Wrong Item Shipped,Approved,892.84
55659,23289,14024,29735,1541,2023-11-09,1,341.24,Wrong Item Shipped,Approved,341.24
55660,24414,9425,14461,12998,2023-04-19,5,2198.95,Changed Mind,Approved,2198.95
55661,39890,18326,21289,2614,2023-07-26,1,139.66,Wrong Item Shipped,Approved,139.66
55662,39054,25340,6574,22456,2026-04-08,1,530.09,Changed Mind,Approved,530.09
55663,37691,5686,2579,18831,2023-01-09,5,860.6,Duplicate Order,Approved,860.6
55664,16217,12161,22086,28067,2024-05-27,2,754.18,Damaged,Pending,
55665,11744,14694,23604,27020,2025-09-26,2,478.32,Changed Mind,Approved,478.32
55666,26046,19266,13415,23972,2024-10-27,1,97.68,Damaged,Pending,
55667,37077,1782,13894,23090,2025-07-01,2,572.2,Changed Mind,Pending,
55668,12956,8240,30056,19581,2023-08-06,4,294.24,Duplicate Order,Approved,294.24
55669,29354,20540,18874,8408,2025-06-03,1,159.62,Damaged,Approved,159.62
55670,38756,10266,491,17130,2026-06-20,1,124.54,Not as Described,Approved,124.54
55671,26476,7404,15972,18593,2024-12-11,1,425.95,Not as Described,Approved,425.95
55672,11934,28637,18472,17460,2026-02-11,4,2124.8,Changed Mind,Pending,
55673,25478,5596,19747,14715,2025-03-13,1,337.4,Defective,Approved,337.4
55674,24206,29124,22432,12405,2025-04-10,1,128.19,Not as Described,Approved,128.19
55675,37977,3777,16972,3902,2026-08-18,2,358.78,Size/Fit Issue,Approved,358.78
55676,35415,2916,20561,29363,2023-07-15,1,228.19,Wrong Item Shipped,Approved,228.19
55677,16570,21692,12078,5717,2024-07-13,5,771.95,Changed Mind,Rejected,0.0
55678,11937,14617,13587,1623,2024-10-26,4,965.6,Duplicate Order,Approved,965.6
55679,28832,20676,4818,20775,2023-12-23,3,70.53,Not as Described,Approved,70.53
55680,26796,8665,28331,4549,2024-06-20,3,1683.81,Changed Mind,Approved,1683.81
55681,14200,19279,21340,14302,2025-05-14,6,1819.14,Damaged,Pending,
55682,12732,26683,24217,6023,2025-03-26,3,727.32,Defective,Approved,727.32
55683,25040,22301,21367,28506,2026-07-12,3,1462.47,Defective,Pending,
55684,13926,27737,13299,27874,2025-12-20,1,256.57,Duplicate Order,Rejected,0.0
55685,29852,19011,25912,16500,2025-12-01,1,223.7,Damaged,Approved,223.7
55686,21693,20643,12151,981,2023-08-16,2,578.76,Wrong Item Shipped,Pending,
55687,34780,25386,27762,10850,2026-05-21,3,514.77,Defective,Approved,514.77
55688,39338,12552,26755,14884,2023-04-29,1,365.38,Wrong Item Shipped,Pending,
55689,12503,1765,23496,28066,2026-04-25,6,2670.06,Damaged,Approved,2670.06
55690,38445,16005,13628,17908,2026-01-26,5,1710.55,Wrong Item Shipped,Pending,
55691,32843,1439,21708,27905,2025-02-01,1,9.19,Damaged,Approved,9.19
55692,14659,17115,19906,20835,2023-06-07,3,2004.69,Not as Described,Approved,2004.69
55693,19174,29901,29141,13827,2026-02-16,6,4113.9,Size/Fit Issue,Approved,4113.9
55694,12146,2376,15718,22474,2025-02-02,4,493.04,Wrong Item Shipped,Approved,493.04
55695,26234,8796,1459,19916,2026-05-26,2,23.16,Changed Mind,Approved,23.16
55696,19333,9538,5433,26042,2025-08-06,1,257.03,Defective,Pending,
55697,11275,25354,11297,6040,2024-05-11,2,1260.82,Wrong Item Shipped,Approved,1260.82
55698,22668,30296,27809,15099,2026-04-04,3,892.95,Defective,Approved,892.95
55699,28969,29626,1976,3852,2025-03-12,4,795.16,Duplicate Order,Approved,795.16
55700,27830,7102,9136,26345,2024-01-20,2,516.28,Size/Fit Issue,Pending,
55701,21711,24039,12224,7287,2026-03-22,1,516.48,Defective,Approved,516.48
55702,25312,12071,5828,21295,2024-09-24,1,301.69,Not as Described,Approved,301.69
55703,27307,7167,19814,26063,2023-06-18,1,458.29,Changed Mind,Approved,458.29
55704,31779,10662,2835,14194,2023-07-18,2,1015.92,Duplicate Order,Approved,1015.92
55705,16894,13480,409,6381,2026-06-04,1,65.72,Damaged,Approved,65.72
55706,15968,9834,28600,13440,2025-05-24,1,78.15,Late Delivery,Approved,78.15
55707,38341,12720,26521,22104,2025-07-10,1,257.48,Defective,Approved,257.48
55708,37252,26452,14068,23857,2024-12-08,2,612.1,Not as Described,Pending,
55709,17984,11450,26744,11484,2025-12-07,1,109.54,Changed Mind,Approved,109.54
55710,17273,4598,11050,25807,2024-03-05,2,445.52,Not as Described,Approved,445.52
55711,36892,4507,10312,9396,2024-03-07,1,28.32,Wrong Item Shipped,Approved,28.32
55712,11697,12268,180,14543,2024-04-26,2,326.8,Defective,Approved,326.8
55713,29695,17434,26124,7684,2024-03-26,1,399.76,Changed Mind,Approved,399.76
55714,39207,13526,7685,29256,2025-07-05,1,455.59,Duplicate Order,Approved,455.59
55715,37092,4840,20491,20827,2025-01-28,1,433.59,Not as Described,Approved,433.59
55716,39567,20167,12030,8138,2026-07-05,4,562.2,Changed Mind,Approved,562.2
55717,31294,7915,2332,20587,2023-02-22,2,1277.56,Defective,Pending,
55718,34210,25798,22961,13874,2024-01-26,3,1166.1,Wrong Item Shipped,Approved,1166.1
55719,11267,10116,8526,6156,2024-04-14,1,391.43,Duplicate Order,Approved,391.43
55720,18092,20340,28460,12511,2025-05-18,1,273.23,Not as Described,Approved,273.23
55721,30624,10459,24159,12250,2024-07-23,1,365.98,Changed Mind,Approved,365.98
55722,18006,22432,6093,27205,2023-07-29,1,366.2,Changed Mind,Approved,366.2
55723,18454,29431,29893,7376,2023-02-23,1,378.65,Not as Described,Pending,
55724,14869,12638,17771,21942,2023-06-10,5,1841.4,Not as Described,Approved,1841.4
55725,18163,15677,16934,19812,2023-12-23,1,317.23,Size/Fit Issue,Approved,317.23
55726,19534,29580,4218,10075,2026-06-13,1,57.08,Changed Mind,Approved,57.08
55727,36790,20401,15464,17702,2025-11-28,2,43.38,Not as Described,Approved,43.38
55728,23200,8752,470,26824,2026-05-13,2,349.2,Duplicate Order,Rejected,0.0
55729,34664,26489,1886,12495,2024-05-27,2,100.42,Not as Described,Pending,
55730,17756,15885,25278,26552,2025-10-04,2,71.72,Damaged,Approved,71.72
55731,29801,26881,22535,11143,2025-07-04,3,1012.29,Late Delivery,Approved,1012.29
55732,18418,502,4764,6976,2024-02-06,5,2157.8,Changed Mind,Approved,2157.8
55733,22890,10617,16990,11007,2026-01-06,1,50.55,Wrong Item Shipped,Approved,50.55
55734,17997,599,26632,185,2024-01-03,2,759.3,Duplicate Order,Approved,759.3
55735,22574,5347,4555,3804,2025-05-03,1,105.63,Not as Described,Approved,105.63
55736,17304,21981,28336,18998,2024-05-06,4,1432.32,Not as Described,Approved,1432.32
55737,10317,23877,16925,3236,2024-12-16,1,263.02,Damaged,Approved,263.02
55738,21197,635,17868,4993,2025-12-13,1,483.59,Size/Fit Issue,Pending,
55739,13300,11714,12644,4063,2024-06-19,1,215.34,Changed Mind,Approved,215.34
55740,27709,3529,26405,7477,2024-11-27,2,1047.08,Late Delivery,Approved,1047.08
55741,32239,20631,10575,23368,2024-09-02,2,74.46,Defective,Approved,74.46
55742,14352,2927,21555,23151,2024-09-26,1,470.09,Wrong Item Shipped,Pending,
55743,34010,28080,4834,10537,2024-11-04,1,262.97,Duplicate Order,Approved,262.97
55744,31866,18902,26718,13272,2026-01-27,2,841.96,Size/Fit Issue,Approved,841.96
55745,12482,3553,9211,10292,2023-02-20,4,112.12,Wrong Item Shipped,Approved,112.12
55746,16739,22235,11147,559,2024-09-17,1,198.03,Wrong Item Shipped,Approved,198.03
55747,23904,18825,18412,9564,2024-07-28,4,1748.36,Size/Fit Issue,Approved,1748.36
55748,30138,16906,883,15029,2024-04-30,1,474.36,Defective,Rejected,0.0
55749,26864,7640,4667,9579,2025-09-07,2,688.22,Duplicate Order,Pending,
55750,39141,7083,23513,26230,2025-01-26,2,525.14,Changed Mind,Rejected,0.0
55751,13383,3405,27589,21378,2023-07-27,4,1242.4,Duplicate Order,Approved,1242.4
55752,18341,12790,24545,14515,2025-07-10,1,220.29,Defective,Rejected,0.0
55753,11444,9366,118,26575,2026-04-28,3,1482.15,Duplicate Order,Approved,1482.15
55754,37993,21270,10244,12468,2025-12-05,1,163.79,Not as Described,Pending,
55755,24545,15014,15474,25727,2024-07-23,4,563.48,Wrong Item Shipped,Pending,
55756,13259,27963,15879,1504,2024-03-02,3,122.88,Wrong Item Shipped,Approved,122.88
55757,17111,4722,28325,2394,2025-11-29,1,352.42,Not as Described,Rejected,0.0
55758,39885,1717,26799,11116,2025-11-20,1,261.78,Duplicate Order,Approved,261.78
55759,30053,15897,26899,2882,2024-10-28,2,800.76,Not as Described,Approved,800.76
55760,37218,9979,3921,8946,2023-02-26,1,185.22,Not as Described,Approved,185.22
55761,16928,28216,18009,10542,2025-10-03,1,185.42,Late Delivery,Approved,185.42
55762,33825,22744,29389,5355,2025-12-16,2,1157.62,Wrong Item Shipped,Approved,1157.62
55763,18328,1643,19642,591,2025-07-01,2,1155.12,Defective,Pending,
55764,16740,17646,28812,24993,2024-04-02,2,58.4,Late Delivery,Approved,58.4
55765,39021,18675,24847,6304,2024-11-18,5,897.95,Not as Described,Rejected,0.0
55766,28989,13106,18702,19325,2023-11-15,1,510.56,Damaged,Approved,510.56
55767,17481,30110,12505,13339,2025-10-01,1,448.23,Wrong Item Shipped,Pending,
55768,29560,3444,192,24368,2025-04-21,3,122.28,Defective,Approved,122.28
55769,13904,9892,26603,6531,2023-05-24,1,68.01,Duplicate Order,Approved,68.01
55770,21594,30182,7760,11534,2026-02-01,1,603.44,Wrong Item Shipped,Rejected,0.0
55771,34581,8437,12960,23559,2025-08-21,4,389.2,Late Delivery,Approved,389.2
55772,23728,25428,17851,24746,2023-03-01,3,1728.78,Duplicate Order,Approved,1728.78
55773,11892,26491,26447,743,2024-01-07,1,66.97,Damaged,Pending,
55774,33883,25534,13155,25328,2024-08-31,1,691.58,Late Delivery,Rejected,0.0
55775,24030,10487,26481,7157,2025-12-03,4,57.52,Duplicate Order,Approved,57.52
55776,11901,15584,25920,4942,2024-10-16,1,488.29,Size/Fit Issue,Approved,488.29
55777,19687,15988,18140,14194,2024-08-28,4,814.88,Damaged,Approved,814.88
55778,19216,25299,5252,4868,2026-06-21,1,36.54,Not as Described,Approved,36.54
55779,25205,13456,8181,2337,2026-06-02,1,63.74,Duplicate Order,Approved,63.74
55780,16931,5747,2854,17385,2026-07-13,3,1531.05,Not as Described,Pending,
55781,20709,26560,12261,2380,2025-06-13,3,586.5,Duplicate Order,Rejected,0.0
55782,11241,16681,13959,29928,2025-06-08,2,105.4,Duplicate Order,Approved,105.4
55783,20909,19882,21963,28387,2023-09-05,4,2269.32,Wrong Item Shipped,Pending,
55784,21578,4028,16229,2207,2025-03-19,3,387.0,Size/Fit Issue,Approved,387.0
55785,19544,28152,5031,8623,2024-04-28,1,439.18,Damaged,Approved,439.18
55786,19302,29757,22165,22746,2023-01-30,5,124.85,Defective,Approved,124.85
55787,14071,26737,24320,29013,2025-07-30,2,275.58,Late Delivery,Approved,275.58
55788,26918,2541,17858,9597,2025-09-06,3,1822.14,Defective,Approved,1822.14
55789,14598,15529,13491,21264,2025-03-10,3,1968.75,Damaged,Rejected,0.0
55790,21044,5401,3489,25005,2025-02-05,2,145.9,Changed Mind,Approved,145.9
55791,18169,2177,20948,24214,2023-12-29,2,745.54,Duplicate Order,Pending,
55792,28281,1980,15476,25541,2026-02-25,2,220.36,Not as Described,Pending,
55793,21056,6590,27035,833,2025-12-03,3,34.59,Size/Fit Issue,Rejected,0.0
55794,31889,11781,26394,25426,2026-04-05,1,517.77,Wrong Item Shipped,Approved,517.77
55795,13761,14181,16306,26195,2026-03-08,3,1581.06,Wrong Item Shipped,Approved,1581.06
55796,32704,776,28449,19069,2026-05-02,1,22.41,Defective,Approved,22.41
55797,19873,10907,12238,1374,2026-05-28,2,421.88,Changed Mind,Pending,
55798,12886,19585,24595,27455,2024-05-15,2,719.82,Not as Described,Pending,
55799,14687,3156,8074,18242,2023-05-31,6,2449.74,Changed Mind,Approved,2449.74
55800,21851,16724,25412,1850,2026-04-21,2,70.7,Wrong Item Shipped,Approved,70.7
55801,38529,20995,966,329,2025-05-11,4,714.56,Duplicate Order,Approved,714.56
55802,12145,3432,15575,20039,2025-12-15,1,367.4,Not as Described,Approved,367.4
55803,25230,28788,8789,16469,2023-07-25,2,685.36,Changed Mind,Approved,685.36
55804,36818,29017,22477,17004,2024-10-05,4,78.4,Duplicate Order,Approved,78.4
55805,15227,26972,18149,9306,2024-07-04,1,349.36,Wrong Item Shipped,Approved,349.36
55806,28943,18918,28546,9905,2026-03-06,1,340.48,Size/Fit Issue,Approved,340.48
55807,39452,3779,21751,10057,2023-06-17,3,189.36,Not as Described,Approved,189.36
55808,15520,27898,23099,8239,2024-10-15,1,471.43,Damaged,Approved,471.43
55809,34616,12579,29362,21769,2026-03-01,5,1904.9,Not as Described,Approved,1904.9
55810,12973,4833,29416,4528,2024-05-24,2,814.42,Wrong Item Shipped,Approved,814.42
55811,29078,2848,26808,9344,2024-03-20,6,2674.68,Damaged,Approved,2674.68
55812,39225,15930,8973,24737,2025-08-24,1,208.95,Late Delivery,Approved,208.95
55813,24526,8896,14545,8689,2025-08-30,1,378.84,Wrong Item Shipped,Approved,378.84
55814,16670,5499,21391,29724,2023-01-15,3,1698.51,Late Delivery,Approved,1698.51
55815,23662,18235,10662,12350,2026-08-05,1,262.99,Size/Fit Issue,Approved,262.99
55816,30804,23122,11076,8760,2025-05-17,1,26.07,Late Delivery,Pending,
55817,15458,916,21225,25035,2025-04-05,2,690.78,Duplicate Order,Approved,690.78
55818,16549,6818,19851,2786,2025-09-23,1,46.76,Duplicate Order,Approved,46.76
55819,30230,14818,24933,14320,2026-05-22,5,2872.85,Size/Fit Issue,Rejected,0.0
55820,22984,3532,27286,5484,2023-07-14,1,237.25,Defective,Rejected,0.0
55821,29295,10895,18283,1199,2025-09-20,3,619.47,Changed Mind,Approved,619.47
55822,20208,21465,3872,17448,2025-06-16,3,1129.32,Changed Mind,Rejected,0.0
55823,12086,22472,29851,10006,2026-04-28,1,348.18,Wrong Item Shipped,Approved,348.18
55824,31279,21272,3311,1042,2024-05-23,3,1266.45,Size/Fit Issue,Approved,1266.45
55825,29599,9242,20269,1947,2023-05-21,1,263.75,Changed Mind,Approved,263.75
55826,29068,1452,17145,17535,2024-11-06,1,41.55,Wrong Item Shipped,Approved,41.55
55827,20543,527,22530,18277,2025-01-31,1,303.34,Damaged,Approved,303.34
55828,32436,4796,24370,25815,2023-12-28,2,488.32,Not as Described,Pending,
55829,29465,19551,26420,3779,2023-04-16,1,433.58,Changed Mind,Approved,433.58
55830,25168,6180,15628,4325,2026-08-12,1,257.67,Size/Fit Issue,Approved,257.67
55831,18214,8880,16960,7731,2023-08-22,6,1821.84,Not as Described,Approved,1821.84
55832,34173,3572,25303,19197,2023-01-24,1,334.01,Changed Mind,Approved,334.01
55833,14315,7084,1929,25427,2026-05-15,2,157.94,Not as Described,Approved,157.94
55834,34597,9904,11075,22882,2023-12-22,1,262.88,Size/Fit Issue,Approved,262.88
55835,29059,25574,29534,19025,2025-01-03,4,983.4,Not as Described,Approved,983.4
55836,27482,13644,28918,6343,2023-06-24,1,579.44,Late Delivery,Approved,579.44
55837,21918,5670,6157,18444,2024-01-27,3,2175.15,Defective,Approved,2175.15
55838,19023,25188,19292,11616,2023-04-08,2,780.44,Size/Fit Issue,Rejected,0.0
55839,10311,12362,9006,18140,2025-10-17,3,1694.73,Duplicate Order,Pending,
55840,15986,18235,15797,15535,2026-06-03,1,381.17,Size/Fit Issue,Pending,
55841,37761,3277,16543,3260,2025-03-28,1,262.24,Not as Described,Approved,262.24
55842,10820,19291,24452,24841,2024-06-30,2,283.32,Late Delivery,Approved,283.32
55843,21577,20577,20022,10456,2023-02-07,1,100.26,Late Delivery,Approved,100.26
55844,24239,20758,11180,3375,2025-01-15,6,619.74,Changed Mind,Pending,
55845,15737,23475,22129,27751,2024-03-11,2,173.8,Damaged,Approved,173.8
55846,19454,27842,15903,1217,2024-05-15,5,1427.65,Duplicate Order,Pending,
55847,37311,22083,16242,14062,2024-12-04,5,1522.2,Damaged,Approved,1522.2
55848,36100,28587,450,26949,2024-09-29,2,1117.5,Defective,Rejected,0.0
55849,32227,19618,23058,4437,2024-02-15,1,298.23,Not as Described,Approved,298.23
55850,39801,28019,11894,26034,2024-03-23,1,318.92,Not as Described,Rejected,0.0
55851,30970,2413,5184,3565,2026-04-14,2,771.02,Defective,Approved,771.02
55852,21191,2714,15384,19345,2023-12-22,3,171.96,Size/Fit Issue,Approved,171.96
55853,37149,17055,12712,8466,2025-10-24,2,683.34,Damaged,Approved,683.34
55854,22147,9933,24523,4673,2024-08-12,4,2025.8,Duplicate Order,Approved,2025.8
55855,28236,3104,16131,21745,2026-07-07,1,23.91,Wrong Item Shipped,Rejected,0.0
55856,10209,26568,4656,16740,2024-05-25,1,37.23,Not as Described,Pending,
55857,27991,8507,17000,6446,2026-05-19,4,579.84,Size/Fit Issue,Pending,
55858,21967,12280,8097,4432,2024-12-25,1,142.95,Damaged,Approved,142.95
55859,22458,26482,22454,19262,2025-10-18,2,892.88,Not as Described,Approved,892.88
55860,14749,11860,2525,7326,2026-03-17,1,435.44,Duplicate Order,Rejected,0.0
55861,34551,20622,10108,15695,2024-10-11,1,114.28,Duplicate Order,Approved,114.28
55862,32689,13449,13457,9020,2025-11-07,1,310.72,Defective,Approved,310.72
55863,24898,17026,8748,18184,2024-07-04,5,1051.15,Size/Fit Issue,Approved,1051.15
55864,30073,6433,12652,26437,2023-07-27,2,203.66,Wrong Item Shipped,Approved,203.66
55865,23307,16980,9770,8492,2025-05-09,1,525.84,Not as Described,Approved,525.84
55866,31721,7765,17569,13151,2024-12-16,1,340.03,Defective,Approved,340.03
55867,27947,15204,715,25064,2024-01-17,2,226.62,Defective,Pending,
55868,27941,17459,13041,6435,2025-10-05,3,1645.92,Size/Fit Issue,Approved,1645.92
55869,20673,3873,27185,16099,2024-09-08,3,32.67,Damaged,Approved,32.67
55870,14492,9169,18918,10743,2024-04-29,1,344.01,Defective,Approved,344.01
55871,39809,6292,19331,52,2023-10-22,2,1226.78,Duplicate Order,Pending,
55872,12449,21993,16985,27552,2024-12-18,3,732.54,Wrong Item Shipped,Approved,732.54
55873,35691,13645,6029,24122,2025-11-28,1,515.39,Damaged,Pending,
55874,34760,24186,22610,8703,2024-03-20,2,608.94,Defective,Approved,608.94
55875,20418,21032,24416,11537,2024-07-15,1,368.33,Damaged,Pending,
55876,27522,5459,14540,16599,2024-04-19,1,425.93,Wrong Item Shipped,Approved,425.93
55877,23735,11182,8584,27650,2025-10-17,1,349.35,Size/Fit Issue,Pending,
55878,14720,14388,27426,14111,2026-03-30,1,122.39,Size/Fit Issue,Approved,122.39
55879,20072,3328,28640,10430,2026-04-12,4,2672.08,Duplicate Order,Approved,2672.08
55880,39169,28462,21050,3003,2023-02-04,1,134.3,Duplicate Order,Approved,134.3
55881,24563,25081,14783,23097,2026-03-09,1,131.48,Wrong Item Shipped,Approved,131.48
55882,29451,14978,14417,2984,2024-04-23,1,534.53,Wrong Item Shipped,Approved,534.53
55883,18522,27822,18962,22143,2026-02-11,4,310.88,Size/Fit Issue,Approved,310.88
55884,13427,12244,3891,6206,2025-04-14,2,474.42,Wrong Item Shipped,Approved,474.42
55885,23036,24577,25833,17175,2025-02-18,1,601.06,Late Delivery,Approved,601.06
55886,11155,8105,25235,11108,2024-10-03,1,667.5,Duplicate Order,Approved,667.5
55887,22394,10291,8101,22243,2026-04-15,1,230.54,Wrong Item Shipped,Approved,230.54
55888,12765,14910,20890,11884,2025-07-27,2,753.54,Late Delivery,Approved,753.54
55889,33606,12989,26555,6392,2025-08-22,6,133.98,Not as Described,Approved,133.98
55890,17205,7612,23134,22545,2025-07-11,1,15.54,Damaged,Approved,15.54
55891,13999,3678,22127,9941,2024-07-19,4,683.28,Changed Mind,Pending,
55892,22535,551,20703,16447,2025-03-14,3,638.37,Not as Described,Approved,638.37
55893,38937,7373,11793,7815,2025-02-05,1,270.03,Duplicate Order,Pending,
55894,25754,1874,6296,3194,2025-05-19,5,2481.2,Defective,Approved,2481.2
55895,38768,3594,29067,3130,2024-07-30,1,706.5,Size/Fit Issue,Approved,706.5
55896,22087,10804,17086,6505,2025-07-01,1,266.59,Late Delivery,Approved,266.59
55897,35892,1245,12073,2024,2025-08-31,2,673.48,Late Delivery,Approved,673.48
55898,26144,10692,9667,13327,2023-12-26,5,2812.85,Changed Mind,Pending,
55899,25701,24606,16896,11721,2025-11-14,2,171.42,Changed Mind,Approved,171.42
55900,25714,2736,6715,17783,2025-01-07,1,371.35,Duplicate Order,Rejected,0.0
55901,10689,8814,14437,9678,2024-04-24,2,842.8,Wrong Item Shipped,Rejected,0.0
55902,36588,23585,5426,10552,2025-09-20,2,823.26,Changed Mind,Approved,823.26
55903,27758,22081,29497,19941,2026-04-20,2,496.32,Changed Mind,Approved,496.32
55904,12109,4084,24792,5720,2025-02-18,1,59.61,Wrong Item Shipped,Approved,59.61
55905,13220,27454,17440,11950,2025-08-25,1,250.31,Wrong Item Shipped,Approved,250.31
55906,10468,24505,9017,18441,2025-07-12,3,787.53,Duplicate Order,Approved,787.53
55907,18740,29052,28562,18821,2026-08-18,4,103.96,Damaged,Pending,
55908,39851,11831,4636,28226,2026-02-09,4,1491.64,Late Delivery,Pending,
55909,32814,18247,11291,21025,2024-06-02,1,192.69,Wrong Item Shipped,Rejected,0.0
55910,24228,2573,18581,21477,2026-01-11,1,480.87,Changed Mind,Pending,
55911,36499,22397,13462,28319,2025-09-17,5,95.45,Defective,Approved,95.45
55912,13777,24809,16816,493,2024-08-11,3,67.5,Wrong Item Shipped,Pending,
55913,13204,2729,19443,13744,2025-11-12,1,334.75,Duplicate Order,Pending,
55914,20814,16250,6265,12908,2026-06-14,1,98.05,Size/Fit Issue,Approved,98.05
55915,16697,4619,2524,20395,2025-04-04,1,64.48,Late Delivery,Approved,64.48
55916,19820,19260,4849,2295,2026-03-18,1,125.59,Duplicate Order,Approved,125.59
55917,38072,13891,29480,7373,2024-12-01,1,443.82,Duplicate Order,Rejected,0.0
55918,39976,29238,21131,15436,2023-09-18,1,353.37,Damaged,Rejected,0.0
55919,10396,23519,5121,12323,2026-04-09,3,1381.2,Size/Fit Issue,Approved,1381.2
55920,38801,6437,11870,20542,2023-08-06,2,103.68,Changed Mind,Approved,103.68
55921,10350,13859,4804,3616,2023-07-15,1,687.52,Late Delivery,Rejected,0.0
55922,38363,28467,11367,10605,2026-05-24,1,302.4,Not as Described,Rejected,0.0
55923,25836,7297,26456,15542,2025-08-26,5,356.85,Wrong Item Shipped,Approved,356.85
55924,28166,28544,3217,27616,2023-06-03,3,341.7,Not as Described,Approved,341.7
55925,28319,24691,6005,26252,2026-04-11,1,275.14,Defective,Approved,275.14
55926,12176,26491,28368,700,2023-08-22,1,407.52,Size/Fit Issue,Approved,407.52
55927,12319,15333,18963,29836,2024-11-29,1,368.11,Damaged,Approved,368.11
55928,39288,24677,15562,11013,2026-08-18,1,305.83,Damaged,Pending,
55929,34104,6532,24021,3416,2024-03-18,1,136.52,Duplicate Order,Rejected,0.0
55930,24244,5091,2920,6448,2023-02-19,1,700.69,Changed Mind,Approved,700.69
55931,37167,28356,5234,15545,2024-01-05,1,109.49,Duplicate Order,Approved,109.49
55932,20481,26699,622,4679,2026-08-18,1,606.57,Wrong Item Shipped,Approved,606.57
55933,34753,3470,16826,6377,2025-09-05,1,199.63,Late Delivery,Approved,199.63
55934,24676,22664,11754,18026,2023-12-21,2,402.0,Late Delivery,Approved,402.0
55935,34405,13722,3878,24150,2026-04-20,1,428.53,Defective,Approved,428.53
55936,34708,10000,2717,13147,2025-04-20,2,61.08,Defective,Approved,61.08
55937,20967,14029,27980,19982,2026-06-19,2,846.82,Size/Fit Issue,Pending,
55938,15337,13663,25690,6995,2024-11-23,6,1708.68,Damaged,Pending,
55939,12418,24387,26386,17051,2023-02-16,2,754.18,Size/Fit Issue,Approved,754.18
55940,26818,29680,7552,16192,2025-08-27,1,395.44,Defective,Pending,
55941,39195,16900,26400,8556,2024-02-21,5,2178.25,Wrong Item Shipped,Approved,2178.25
55942,31771,15963,28119,1562,2025-11-04,5,989.15,Changed Mind,Approved,989.15
55943,28633,8923,14945,6962,2024-12-05,1,307.8,Late Delivery,Approved,307.8
55944,21616,6859,6355,20411,2023-12-29,1,322.43,Damaged,Approved,322.43
55945,32292,2191,24325,27622,2026-01-09,2,998.04,Changed Mind,Approved,998.04
55946,16365,10986,9719,14637,2023-08-08,2,1438.54,Size/Fit Issue,Approved,1438.54
55947,17183,27660,22484,9581,2025-06-12,2,481.7,Duplicate Order,Approved,481.7
55948,13395,6106,25143,21160,2024-08-13,4,1522.44,Late Delivery,Pending,
55949,38439,13323,27625,9690,2025-09-15,2,565.18,Damaged,Approved,565.18
55950,17914,9721,3744,11606,2024-09-26,2,21.58,Late Delivery,Pending,
55951,13036,26171,10879,7054,2024-03-16,1,197.09,Damaged,Approved,197.09
55952,23866,29202,3679,5695,2023-10-26,2,116.58,Late Delivery,Pending,
55953,39234,11160,22572,197,2024-01-27,1,111.47,Damaged,Approved,111.47
55954,14976,27442,6862,26458,2025-10-04,2,621.88,Wrong Item Shipped,Approved,621.88
55955,22825,21759,6153,12983,2025-05-10,3,777.93,Duplicate Order,Approved,777.93
55956,38230,12699,23411,25080,2023-12-18,1,304.33,Duplicate Order,Approved,304.33
55957,38567,13491,12543,10470,2026-06-24,5,593.9,Late Delivery,Rejected,0.0
55958,38157,17114,28789,908,2023-05-02,3,1492.02,Late Delivery,Approved,1492.02
55959,18630,3507,10743,29114,2025-05-08,1,201.13,Not as Described,Approved,201.13
55960,30219,16150,6040,15200,2024-07-13,6,912.36,Late Delivery,Rejected,0.0
55961,10771,22443,10241,18967,2024-05-30,1,149.66,Defective,Rejected,0.0
55962,16698,23546,17397,18082,2025-12-09,3,1928.73,Damaged,Pending,
55963,18122,15539,11401,12700,2025-04-06,1,319.46,Wrong Item Shipped,Approved,319.46
55964,10361,30431,1016,22447,2025-05-22,2,586.56,Size/Fit Issue,Approved,586.56
55965,10519,891,28004,5750,2024-10-16,1,267.78,Size/Fit Issue,Approved,267.78
55966,19710,5197,4946,4788,2024-02-08,6,257.64,Size/Fit Issue,Pending,
55967,37498,25317,26037,23047,2026-02-25,2,184.88,Changed Mind,Approved,184.88
55968,15647,27820,16115,27813,2023-12-13,3,431.4,Changed Mind,Approved,431.4
